,ID,gender,owns_car,owns_realty,#_of_children,total_income,income_type,education,family_status,housing_type,mobile_cellphone?,work_phone?,home_phone?,email?,occupation,#_of_family_members,age,years_employed,MONTHS_BALANCE,STATUS
52,5008873,F,0,1,2,126000,Commercial associate,Higher education,Married,House / apartment,1,0,0,1,Managers,4,34,5,-21,0
53,5008874,F,0,1,2,126000,Commercial associate,Higher education,Married,House / apartment,1,0,0,1,Managers,4,34,5,-45,0
54,5008875,F,0,1,2,126000,Commercial associate,Higher education,Married,House / apartment,1,0,0,1,Managers,4,34,5,-39,0
55,5008876,F,0,1,2,126000,Commercial associate,Higher education,Married,House / apartment,1,0,0,1,Managers,4,34,5,-43,0
56,5008877,F,0,1,2,126000,Commercial associate,Higher education,Married,House / apartment,1,0,0,1,Managers,4,34,5,-7,0
57,5008878,F,0,1,2,126000,Commercial associate,Higher education,Married,House / apartment,1,0,0,1,Managers,4,34,5,-43,0
58,5008879,F,0,1,2,126000,Commercial associate,Higher education,Married,House / apartment,1,0,0,1,Managers,4,34,5,-21,0
59,5008880,F,0,1,2,126000,Commercial associate,Higher education,Married,House / apartment,1,0,0,1,Managers,4,34,5,-10,0
60,5008881,F,0,1,2,126000,Commercial associate,Higher education,Married,House / apartment,1,0,0,1,Managers,4,34,5,-19,0
61,5008882,F,0,1,2,126000,Commercial associate,Higher education,Married,House / apartment,1,0,0,1,Managers,4,34,5,-45,0
62,5008888,F,0,1,0,247500,Commercial associate,Higher education,Separated,Rented apartment,1,0,0,0,Core staff,1,47,4,-11,1
63,5008889,F,0,1,0,247500,Commercial associate,Higher education,Separated,Rented apartment,1,0,0,0,Core staff,1,47,4,-4,1
64,5008890,F,0,1,0,247500,Commercial associate,Higher education,Separated,Rented apartment,1,0,0,0,Core staff,1,47,4,-48,1
65,5112847,F,0,1,0,247500,Commercial associate,Higher education,Separated,Rented apartment,1,0,0,0,Core staff,1,47,4,-25,1
66,5008891,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,Laborers,1,43,9,-7,0
67,5008892,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,Laborers,1,43,9,-37,0
68,5008893,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,Laborers,1,43,9,-36,1
69,5008894,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,Laborers,1,43,9,-36,1
70,5008895,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,Laborers,1,43,9,-34,1
71,5008896,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,Laborers,1,43,9,-34,0
72,5008897,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,Laborers,1,43,9,-32,0
73,5008898,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,Laborers,1,43,9,-31,1
74,5008899,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,Laborers,1,43,9,-30,0
75,5008900,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,Laborers,1,43,9,-29,1
76,5008901,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,Laborers,1,43,9,-27,0
77,5008902,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,Laborers,1,43,9,-27,1
78,5008903,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,Laborers,1,43,9,-27,0
79,5008904,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,Laborers,1,43,9,-26,1
80,5008905,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,Laborers,1,43,9,-25,0
81,5008906,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,Laborers,1,43,9,-24,1
82,5008907,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,Laborers,1,43,9,-23,0
83,5008908,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,Laborers,1,43,9,-22,1
84,5008909,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,Laborers,1,43,9,-22,0
85,5008910,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,Laborers,1,43,9,-21,1
86,5008911,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,Laborers,1,43,9,-21,0
87,5008912,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,Laborers,1,43,9,-20,1
88,5008913,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,Laborers,1,43,9,-19,0
89,5008914,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,Laborers,1,43,9,-18,1
90,5008915,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,Laborers,1,43,9,-18,0
91,5008916,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,Laborers,1,43,9,-17,1
92,5008917,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,Laborers,1,43,9,-17,0
93,5008918,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,Laborers,1,43,9,-16,1
94,5008919,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,Laborers,1,43,9,-15,0
95,5008920,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,Laborers,1,43,9,-15,1
96,5008921,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,Laborers,1,43,9,-13,0
97,5008922,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,Laborers,1,43,9,-13,1
98,5008923,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,Laborers,1,43,9,-12,0
99,5008924,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,Laborers,1,43,9,-12,1
100,5008925,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,Laborers,1,43,9,-12,0
101,5008926,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,Laborers,1,43,9,-11,1
102,5008927,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,Laborers,1,43,9,-9,0
103,5008928,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,Laborers,1,43,9,-9,1
104,5008929,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,Laborers,1,43,9,-7,0
105,5008930,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,Laborers,1,43,9,-6,1
106,5008931,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,Laborers,1,43,9,-5,0
107,5008932,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,Laborers,1,43,9,-5,1
108,5008933,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,Laborers,1,43,9,-5,0
109,5008934,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,Laborers,1,43,9,-4,1
110,5008935,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,Laborers,1,43,9,-4,0
111,5008936,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,Laborers,1,43,9,-3,1
112,5008937,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,Laborers,1,43,9,-1,0
113,5008938,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,Laborers,1,43,9,-1,1
114,5008939,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,Laborers,1,43,9,0,1
115,5008940,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,Laborers,1,43,9,-1,0
116,5008941,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,Laborers,1,43,9,-7,1
117,5008942,F,0,0,0,157500,Commercial associate,Higher education,Married,House / apartment,1,0,1,0,High skill tech staff,2,37,13,-43,0
118,5008943,F,0,0,0,157500,Commercial associate,Higher education,Married,House / apartment,1,0,1,0,High skill tech staff,2,37,13,-14,1
119,5008944,F,0,0,0,157500,Commercial associate,Higher education,Married,House / apartment,1,0,1,0,High skill tech staff,2,37,13,-23,0
120,5008945,F,0,0,0,157500,Commercial associate,Higher education,Married,House / apartment,1,0,1,0,High skill tech staff,2,37,13,-30,0
121,5008946,F,0,0,0,157500,Commercial associate,Higher education,Married,House / apartment,1,0,1,0,High skill tech staff,2,37,13,-48,0
122,5008947,M,0,1,0,135000,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,Drivers,2,42,4,-12,1
123,5008948,M,0,1,0,135000,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,Drivers,2,42,4,-17,1
124,5008949,M,0,1,0,135000,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,Drivers,2,42,4,0,1
125,5008950,M,0,1,0,135000,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,Drivers,2,42,4,-12,1
126,5008955,F,1,1,0,135000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,2,49,5,-4,0
127,5008956,F,1,1,0,135000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,2,49,5,-39,0
128,5008957,F,1,1,0,135000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,2,49,5,-51,0
129,5008958,F,1,1,0,135000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,2,49,5,-3,0
130,5008959,F,1,1,0,135000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,2,49,5,-15,0
131,5008960,F,1,1,0,135000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,2,49,5,-28,0
132,5008962,F,1,1,0,135000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,2,49,5,-26,1
133,5008963,F,1,1,0,135000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,2,49,5,-38,1
134,5008981,M,1,1,0,112500,State servant,Secondary / secondary special,Married,House / apartment,1,0,1,0,Drivers,2,57,7,-10,1
135,5008983,M,1,1,0,112500,State servant,Secondary / secondary special,Married,House / apartment,1,0,1,0,Drivers,2,57,7,-58,1
136,5008984,M,1,1,0,112500,State servant,Secondary / secondary special,Married,House / apartment,1,0,1,0,Drivers,2,57,7,-58,1
137,5008986,M,1,1,0,112500,State servant,Secondary / secondary special,Married,House / apartment,1,0,1,0,Drivers,2,57,7,-10,1
138,5008987,M,1,1,0,112500,State servant,Secondary / secondary special,Married,House / apartment,1,0,1,0,Drivers,2,57,7,-10,0
139,5008988,M,1,1,0,112500,State servant,Secondary / secondary special,Married,House / apartment,1,0,1,0,Drivers,2,57,7,-16,1
140,5008991,F,1,1,0,270000,Working,Secondary / secondary special,Separated,House / apartment,1,1,1,0,Cleaning staff,1,45,3,-30,1
141,5008992,F,1,1,0,270000,Working,Secondary / secondary special,Separated,House / apartment,1,1,1,0,Cleaning staff,1,45,3,-6,1
142,5008993,F,1,1,0,270000,Working,Secondary / secondary special,Separated,House / apartment,1,1,1,0,Cleaning staff,1,45,3,-17,0
143,5008994,F,1,1,0,270000,Working,Secondary / secondary special,Separated,House / apartment,1,1,1,0,Cleaning staff,1,45,3,-19,1
144,5008995,F,1,1,0,270000,Working,Secondary / secondary special,Separated,House / apartment,1,1,1,0,Cleaning staff,1,45,3,-28,0
145,5112861,F,1,1,0,270000,Working,Secondary / secondary special,Separated,House / apartment,1,1,1,0,Cleaning staff,1,45,3,-21,0
146,5008998,F,1,1,0,270000,Working,Higher education,Married,House / apartment,1,0,0,1,Managers,2,29,2,-4,1
147,5008999,F,1,1,0,270000,Working,Higher education,Married,House / apartment,1,0,0,1,Managers,2,29,2,-24,1
148,5009000,M,1,1,0,157500,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Drivers,2,27,2,-22,0
149,5009001,M,0,1,0,166500,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,Laborers,2,52,17,-40,0
150,5009002,M,0,1,0,166500,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,Laborers,2,52,17,-44,0
151,5009005,M,0,1,0,166500,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,Laborers,2,52,17,-35,0
152,5009006,M,0,1,0,166500,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,Laborers,2,52,17,-45,1
153,5009007,M,0,1,0,166500,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,Laborers,2,52,17,-59,1
154,5009008,M,0,1,0,166500,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,Laborers,2,52,17,-9,0
155,5009009,M,0,1,0,166500,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,Laborers,2,52,17,-32,1
156,5009010,M,0,1,0,166500,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,Laborers,2,52,17,-12,0
157,5009012,M,0,1,0,166500,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,Laborers,2,52,17,-5,1
158,5009014,M,0,1,0,166500,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,Laborers,2,52,17,-35,0
159,5009027,F,1,1,0,270000,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,1,Laborers,2,54,30,-21,1
160,5112862,F,1,1,0,270000,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,1,Laborers,2,54,30,-40,0
161,5009028,F,1,1,0,225000,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,2,40,8,-17,0
162,5009029,F,1,1,0,225000,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,2,40,8,-15,1
163,5009031,F,0,1,0,315000,Working,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,Accountants,1,29,3,-13,1
164,5009032,F,0,1,0,315000,Working,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,Accountants,1,29,3,-13,1
165,5009039,F,0,1,2,157500,Working,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,Core staff,3,39,2,-8,1
166,5009040,F,0,1,2,157500,Working,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,Core staff,3,39,2,-3,1
167,5009042,F,0,1,0,148500,Working,Higher education,Married,House / apartment,1,0,0,0,Core staff,2,48,2,-20,0
168,5009043,F,0,1,0,148500,Working,Higher education,Married,House / apartment,1,0,0,0,Core staff,2,48,2,-20,0
169,5009044,F,0,1,0,148500,Working,Higher education,Married,House / apartment,1,0,0,0,Core staff,2,48,2,-18,0
170,5009045,F,0,1,0,148500,Working,Higher education,Married,House / apartment,1,0,0,0,Core staff,2,48,2,-17,0
171,5009046,F,0,1,0,148500,Working,Higher education,Married,House / apartment,1,0,0,0,Core staff,2,48,2,-7,1
172,5009047,F,0,1,0,148500,Working,Higher education,Married,House / apartment,1,0,0,0,Core staff,2,48,2,-11,1
173,5009050,F,0,1,2,202500,Working,Higher education,Married,House / apartment,1,0,0,1,Core staff,4,30,6,-34,0
174,5009051,F,0,1,2,202500,Working,Higher education,Married,House / apartment,1,0,0,1,Core staff,4,30,6,-56,0
175,5009052,F,0,1,2,202500,Working,Higher education,Married,House / apartment,1,0,0,1,Core staff,4,30,6,-47,0
176,5009053,F,0,1,2,202500,Working,Higher education,Married,House / apartment,1,0,0,1,Core staff,4,30,6,-51,0
177,5009055,F,0,1,2,202500,Working,Higher education,Married,House / apartment,1,0,0,1,Core staff,4,30,6,-55,0
178,5009056,M,0,1,0,202500,Working,Secondary / secondary special,Single / not married,House / apartment,1,1,0,0,Drivers,1,24,2,-24,0
179,5009057,M,0,1,0,202500,Working,Secondary / secondary special,Single / not married,House / apartment,1,1,0,0,Drivers,1,24,2,-9,0
180,5009058,F,1,1,0,112500,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,1,0,1,1,Private service staff,1,21,2,0,1
181,5009062,M,1,1,0,315000,Working,Secondary / secondary special,Civil marriage,House / apartment,1,0,0,0,Sales staff,2,29,6,-45,1
182,5009063,M,1,1,0,315000,Working,Secondary / secondary special,Civil marriage,House / apartment,1,0,0,0,Sales staff,2,29,6,-27,1
183,5009064,M,1,1,0,315000,Working,Secondary / secondary special,Civil marriage,House / apartment,1,0,0,0,Sales staff,2,29,6,-4,1
184,5009065,M,1,1,0,315000,Working,Secondary / secondary special,Civil marriage,House / apartment,1,0,0,0,Sales staff,2,29,6,-10,1
185,5009066,M,1,1,0,315000,Working,Secondary / secondary special,Civil marriage,House / apartment,1,0,0,0,Sales staff,2,29,6,-15,1
186,5009067,M,1,1,0,315000,Working,Secondary / secondary special,Civil marriage,House / apartment,1,0,0,0,Sales staff,2,29,6,-36,0
187,5009068,M,1,1,0,315000,Working,Secondary / secondary special,Civil marriage,House / apartment,1,0,0,0,Sales staff,2,29,6,-22,1
188,5009069,M,1,1,0,315000,Working,Secondary / secondary special,Civil marriage,House / apartment,1,0,0,0,Sales staff,2,29,6,-35,1
189,5009070,M,1,1,0,315000,Working,Secondary / secondary special,Civil marriage,House / apartment,1,0,0,0,Sales staff,2,29,6,-39,1
190,5009071,F,1,1,0,270000,Commercial associate,Incomplete higher,Civil marriage,Municipal apartment,1,0,1,1,High skill tech staff,2,28,9,-20,1
191,5009072,F,1,1,0,270000,Commercial associate,Incomplete higher,Civil marriage,Municipal apartment,1,0,1,1,High skill tech staff,2,28,9,-43,1
192,5009074,F,1,1,1,450000,State servant,Higher education,Married,House / apartment,1,0,1,1,Core staff,3,49,2,-22,0
193,5009075,F,1,1,1,450000,State servant,Higher education,Married,House / apartment,1,0,1,1,Core staff,3,49,2,-28,0
194,5009078,M,0,1,1,180000,Working,Secondary / secondary special,Married,With parents,1,0,0,0,Drivers,3,39,4,-30,0
195,5009079,F,0,1,0,112500,Working,Higher education,Civil marriage,House / apartment,1,0,0,1,Laborers,2,28,9,-43,0
196,5009080,F,0,1,0,112500,Working,Higher education,Civil marriage,House / apartment,1,0,0,1,Laborers,2,28,9,-15,0
197,5009081,F,0,1,0,112500,Working,Higher education,Civil marriage,House / apartment,1,0,0,1,Laborers,2,28,9,-19,0
198,5009083,M,0,1,0,90000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Drivers,2,56,16,-51,1
199,5009084,M,0,1,0,90000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Drivers,2,56,16,-2,0
200,5009088,M,1,0,2,202500,Commercial associate,Higher education,Married,House / apartment,1,0,0,0,Laborers,4,40,8,-46,1
201,5009089,M,1,0,2,202500,Commercial associate,Higher education,Married,House / apartment,1,0,0,0,Laborers,4,40,8,-39,1
202,5009090,M,1,1,0,247500,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Drivers,2,35,11,-13,0
203,5009092,M,1,1,1,765000,Working,Higher education,Married,House / apartment,1,1,0,0,Managers,3,33,3,-3,0
204,5009094,M,1,1,1,765000,Working,Higher education,Married,House / apartment,1,1,0,0,Managers,3,33,3,-3,0
205,5009095,M,1,1,1,765000,Working,Higher education,Married,House / apartment,1,1,0,0,Managers,3,33,3,-3,0
206,5009096,F,0,1,1,270000,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,1,Accountants,3,37,12,-24,1
207,5009097,F,0,1,1,270000,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,1,Accountants,3,37,12,-33,0
208,5009098,F,0,1,1,270000,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,1,Accountants,3,37,12,-17,1
209,5009099,F,0,1,0,315000,Working,Higher education,Separated,House / apartment,1,0,0,0,Managers,1,36,2,-56,1
